Questionnaire Name,Account Number,Account Name,Country,CDP Region,ParentSection,Section,RowNumber,RowName,Coal,Gas,Oil,Nuclear,Hydro,Biomass,Wind,Geothermal,Solar,Other sources,Total - please ensure this equals 100%,
Cities 2019,31155,City of Buenos Aires,Argentina,Latin America,,Energy,1,Percent,1,55,8,4,30,0.22,0.45,0,0.01,1.32,100,JS ARRAY
Cities 2019,60419,Municipalidad de Rio Grande,Argentina,Latin America,,Energy,1,Percent,0,100,0,0,0,0,0,0,0,0,100,
Cities 2019,839980,Municipalidad de Avellaneda,Argentina,Latin America,,Energy,1,Percent,3,53,33,3,4,,,,,4,100,
Cities 2019,31109,City of Melbourne,Australia,Southeast Asia and Oceania,,Energy,1,Percent,75,6.2,,,5.5,1,8.8,,3,0.5,100,
Cities 2019,31114,City of Sydney,Australia,Southeast Asia and Oceania,,Energy,1,Percent,62.7,19.6,2,0,6.3,1.4,4.9,0,3.1,,100,
Cities 2019,32480,City of Adelaide,Australia,Southeast Asia and Oceania,,Energy,1,Percent,0,51.3,0,0,0,0,39,0,8.2,1.5,100,
Cities 2019,53254,City of Hobart,Australia,Southeast Asia and Oceania,,Energy,1,Percent,,10,,,83,,10,,7,0,110,
Cities 2019,59969,City of Mandurah,Australia,Southeast Asia and Oceania,,Energy,1,Percent,47,11,22,,,,,14,2,4,100,
Cities 2019,60394,Gobierno Autónomo Municipal de Tarija,Bolivia (Plurinational State of),Latin America,,Energy,1,Percent,,60,38,,2,,,,,,100,
Cities 2019,31156,Municipality of Curitiba,Brazil,Latin America,,Energy,1,Percent,4.2,9.1,2.4,2.6,68.1,8.2,5.39,0,0.01,0,100,
Cities 2019,31176,Prefeitura do Rio de Janeiro,Brazil,Latin America,,Energy,1,Percent,3.2,8.6,2.4,2.5,66.6,8.5,7.6,0,0.5,0,99.9,
Cities 2019,31184,Prefeitura de São Paulo,Brazil,Latin America,,Energy,1,Percent,3.2,8.6,2.4,2.5,66.6,8.5,7.6,0,0.5,0.1,100,
Cities 2019,35848,Municipality of Belo Horizonte,Brazil,Latin America,,Energy,1,Percent,2.9,9.8,2.1,2.7,65.8,8.5,5.8,0,0,2.4,100,
Cities 2019,35865,Municipality of Fortaleza,Brazil,Latin America,,Energy,1,Percent,2.2,7.7,5.8,1.18,60.76,8.71,7.81,0,0.77,5.07,100,
Cities 2019,35872,Municipality of Recife,Brazil,Latin America,,Energy,1,Percent,0,18,23,0,11,3,4,0,0,41,100,
Cities 2019,35897,Municipality of Campinas,Brazil,Latin America,,Energy,1,Percent,2.6,11.3,4.4,2.4,70.6,7.6,1.1,0,0,0,100,
Cities 2019,42120,City of Salvador,Brazil,Latin America,,Energy,1,Percent,,,,,100,,,,,,100,
Cities 2019,42123,City of Goiânia,Brazil,Latin America,,Energy,1,Percent,0,0,8,0,90,0,0,0,0,2,100,
Cities 2019,50389,Prefeitura de Maceió,Brazil,Latin America,,Energy,1,Percent,,10,,,90,,,,,,100,
Cities 2019,51374,Prefeitura de Rio Branco,Brazil,Latin America,,Energy,1,Percent,,,100,,,,,,,,100,
Cities 2019,54625,Prefeitura de Londrina,Brazil,Latin America,,Energy,1,Percent,0,0,0,0,100,0,0,0,0,0,100,
Cities 2019,54633,Prefeitura de Lorena,Brazil,Latin America,,Energy,1,Percent,0,0,0,0,100,0,0,0,0,0,100,
Cities 2019,54651,Prefeitura de Santo André,Brazil,Latin America,,Energy,1,Percent,0,0,0,0,100,0,0,0,0,0,100,
Cities 2019,54652,Prefeitura de Osasco,Brazil,Latin America,,Energy,1,Percent,3,9,0,3,68,8,5,0,0,4,100,
Cities 2019,54697,Prefeitura Municipal de Cerquilho,Brazil,Latin America,,Energy,1,Percent,,,,,100,,,,,,100,
Cities 2019,54699,Prefeitura Municipal de Barueri,Brazil,Latin America,,Energy,1,Percent,0,0,0,0,100,0,0,0,0,0,100,
Cities 2019,54700,Prefeitura Municipal de Sumaré,Brazil,Latin America,,Energy,1,Percent,3,10,2,3,66,8,6,0,0,2,100,
Cities 2019,55380,Prefeitura Municipal de Cubatão,Brazil,Latin America,,Energy,1,Percent,0,31,28,0,40,0,0,1,0,0,100,
Cities 2019,60271,Prefeitura de Bertioga,Brazil,Latin America,,Energy,1,Percent,0,0,19,4,75,0,2,0,0,0,100,
Cities 2019,60278,Prefeitura de Fernandópolis,Brazil,Latin America,,Energy,1,Percent,,,,,98,,,,2,,100,
Cities 2019,60292,Prefeitura de Jahu,Brazil,Latin America,,Energy,1,Percent,,,,,100,,,,,,100,
Cities 2019,60318,Prefeitura de Porto Velho,Brazil,Latin America,,Energy,1,Percent,,,7,,93,,,,,,100,
Cities 2019,60349,Prefeitura de São Leopoldo,Brazil,Latin America,,Energy,1,Percent,17,0,0,0,76,1,5,0,1,0,100,
Cities 2019,68373,Prefeitura de Pedreira,Brazil,Latin America,,Energy,1,Percent,,,,,,100,,,,,100,
Cities 2019,826236,Prefeitura de Tremembé,Brazil,Latin America,,Energy,1,Percent,,1.5,,,98,,,,0.5,,100,
Cities 2019,834287,Municipality of Terra Nova do Norte,Brazil,Latin America,,Energy,1,Percent,,,,,,,,,,100,100,
Cities 2019,840244,Prefeitura de Águas da Prata,Brazil,Latin America,,Energy,1,Percent,0,0,0,4,75,0,2,0,0,19,100,
Cities 2019,840917,Prefeitura de Pau Brasil,Brazil,Latin America,,Energy,1,Percent,,,,,100,,,,,,100,
Cities 2019,840930,Prefeitura de Venâncio Aires,Brazil,Latin America,,Energy,1,Percent,0,8,0,0,0,0,0,0,2,90,100,
Cities 2019,58783,Commune de Bakata,Burkina Faso,Africa,,Energy,1,Percent,0,0,0,0,40,0,0,0,60,0,100,
Cities 2019,20113,City of Vancouver,Canada,North America,,Energy,1,Percent,0,2,0,0,92,4,2,0,0,0,100,
Cities 2019,31117,City of Toronto,Canada,North America,,Energy,1,Percent,,28,,35,23,1,12,,1,,100,
Cities 2019,35475,City of Calgary,Canada,North America,,Energy,1,Percent,42.05,47.91,,,2.26,2.4,4.95,,0.026,0.4,99.996,
Cities 2019,35894,Ville de Montreal,Canada,North America,,Energy,1,Percent,0,0,0,0,95.1,0.8,3.1,0,0,1,100,
Cities 2019,43912,City of Edmonton,Canada,North America,,Energy,1,Percent,36,47,0,0,6,,9,0,0,3,101,
Cities 2019,50543,Halifax Regional Municipality,Canada,North America,,Energy,1,Percent,57.8,9.9,4.7,0,10.8,4.1,12.7,0,0,0,100,
Cities 2019,50555,City of Hamilton,Canada,North America,,Energy,1,Percent,0,4,0,63,26,0.5,6,0,0.5,0,100,
Cities 2019,50558,"City of London, ON",Canada,North America,,Energy,1,Percent,0,4,0,60.1,25.6,0.4,7.2,0,2.2,,99.5,
Cities 2019,50568,City of Saskatoon,Canada,North America,,Energy,1,Percent,43,35,0,0,16,0,3,0,0,3,100,
Cities 2019,50571,City of Victoria,Canada,North America,,Energy,1,Percent,0,2,0,0,96,2,0,0,0,0,100,
Cities 2019,50578,City of Windsor,Canada,North America,,Energy,1,Percent,0,28,0,35,23,1,12,0,1,0,100,
Cities 2019,50579,City of Winnipeg,Canada,North America,,Energy,1,Percent,,,,,100,,,,,,100,
Cities 2019,54088,City of Peterborough,Canada,North America,,Energy,1,Percent,0,14,14,35,23,1,12,0,1,0,100,
Cities 2019,59538,City of Mississauga,Canada,North America,,Energy,1,Percent,0,8.2,0,61,23.7,0.6,6.2,0,0.3,0,100,
Cities 2019,59669,City of North Vancouver,Canada,North America,,Energy,1,Percent,0,2,1,0,90,6,1,0,0,0,100,
Cities 2019,840269,"Town of Whitby, ON",Canada,North America,,Energy,1,Percent,0,28,0,35,23,1,12,0,1,0,100,
Cities 2019,31180,Región Metropolitana de Santiago,Chile,Latin America,,Energy,1,Percent,20.55,19,12.79,0,28.3,2.14,6.87,0,10.35,0,100,
Cities 2019,59167,Municipalidad de Providencia,Chile,Latin America,,Energy,1,Percent,16,18,15,,39,,,,12,,100,
Cities 2019,827048,Zhenjiang Municipal People's Government,China,East Asia,,Energy,1,Percent,60.4,7,18.8,15.7,,,23.5,,9.8,13.8,149,
Cities 2019,31169,Government of Hong Kong Special Administrative Region,"China, Hong Kong Special Administrative Region",East Asia,,Energy,1,Percent,44.86,27.55,0.52,27.07,0,0,0,0,0,0,100,
Cities 2019,50380,Municipio de Bucaramanga,Colombia,Latin America,,Energy,1,Percent,7,12,10,0,70,0,0,0,0,,99,
Cities 2019,54608,Alcaldia de Montería,Colombia,Latin America,,Energy,1,Percent,0,0,0,0,98,0,0,0,2,0,100,
Cities 2019,60369,Alcaldía Municipal de Armenia,Colombia,Latin America,,Energy,1,Percent,0,0,0,0,100,0,0,0,0,0,100,
Cities 2019,60374,Alcaldía de Ibagué,Colombia,Latin America,,Energy,1,Percent,,,,,99,,,,1,,100,
Cities 2019,60385,Alcaldía de Villavicencio,Colombia,Latin America,,Energy,1,Percent,3,8,0,0,87,1,0,0,1,0,100,
Cities 2019,70017,Alcaldia de Palmira,Colombia,Latin America,,Energy,1,Percent,0,1,0,0,94,0.4,4.6,0,0,0,100,
Cities 2019,834313,Municipality of Tópaga,Colombia,Latin America,,Energy,1,Percent,60,,,,35,15,,,,,110,
Cities 2019,73413,Commune de Cocody,Côte d'Ivoire,Africa,,Energy,1,Percent,15,13,20,0,45,2,0,0,5,0,100,
Cities 2019,74631,Lubumbashi,Democratic Republic of the Congo,Africa,,Energy,1,Percent,78,2,56,0,24,0,0,0,2,0,162,
Cities 2019,58489,Hoeje-Taastrup Kommune,Denmark,Europe,,Energy,1,Percent,17,7,1,3,12,14,40,0,2,4,100,
Cities 2019,58671,Helsingør Kommune / Elsinore Municipality,Denmark,Europe,,Energy,1,Percent,21,11,0,0,0,17,42,0,3,6,100,
Cities 2019,58797,Hørsholm Kommune,Denmark,Europe,,Energy,1,Percent,17,7,1,3,12,14,40,0,2,4,100,
Cities 2019,59165,Gladsaxe Kommune,Denmark,Europe,,Energy,1,Percent,17,6,1,3,7,18,42,0,6,,100,
Cities 2019,60433,City of Hvidovre,Denmark,Europe,,Energy,1,Percent,17,5.2,0.8,0,15,15.7,40.7,0,2.1,2,98.5,
Cities 2019,62855,Egedal Municipality,Denmark,Europe,,Energy,1,Percent,27,8,1,0,0,28,28,0,1,7,100,
Cities 2019,8242,City of Helsinki,Finland,Europe,,Energy,1,Percent,57,25,2.3,,0,1.9,0,0,0,13.6,99.8,
Cities 2019,50154,City of Turku,Finland,Europe,,Energy,1,Percent,21,3.8,0.2,16.7,28.1,12.6,2.7,0,0,14.9,100,
Cities 2019,54402,City of Lahti,Finland,Europe,,Energy,1,Percent,7.2,3.8,0.2,25.2,17.1,12.8,5.6,0,0,28.1,100,
Cities 2019,69995,Kemi,Finland,Europe,,Energy,1,Percent,,,,41,,,,,,59,100,
Cities 2019,31175,City of Paris,France,Europe,,Energy,1,Percent,2.2,9.1,3.1,48.3,19.5,1.5,10.4,0,5.9,0,100,
Cities 2019,50220,Métropole Nice Côte d'Azur,France,Europe,,Energy,1,Percent,1.4,6.6,0.6,72.3,12,1.6,3.9,,1.6,,100,
Cities 2019,54430,Ville du Havre,France,Europe,,Energy,1,Percent,0,50,0.7,30,,3,,,,15,98.7,
Cities 2019,31153,City of Berlin,Germany,Europe,,Energy,1,Percent,61,33,1,0,0,2,0,0,1,2,100,
Cities 2019,31165,Stadt Heidelberg,Germany,Europe,,Energy,1,Percent,35.3,12.8,0.8,11.7,2.6,7,17.5,0,7.1,5.2,100,
Cities 2019,50650,City of Gibraltar,Gibraltar,Europe,,Energy,1,Percent,,,99.8,,,,,,0.2,,100,
Cities 2019,31149,City of Athens,Greece,Europe,,Energy,1,Percent,33.9,31,10,0,7.3,0.5,10,0,7.3,,100,
Cities 2019,834300,Municipality of Villanueva,Guatemala,Latin America,,Energy,1,Percent,20,8,,,66,,2,,2,2,100,
Cities 2019,54459,City of Reykjavík,Iceland,Europe,,Energy,1,Percent,0,0,0,0,70,0,0,30,0,0,100,
Cities 2019,31157,City of Delhi,India,South and West Asia,,Energy,1,Percent,56.89,29.23,,1.42,9.99,,,,,2.47,100,
Cities 2019,35915,City of Jaipur,India,South and West Asia,,Energy,1,Percent,81,0,0,0,0,0,0,0,19,,100,
Cities 2019,60050,Guwahati Municipal Corporation,India,South and West Asia,,Energy,1,Percent,36.86,12.32,50.68,,,,,,0.14,,100,
Cities 2019,60053,Indore Municipal Corporation,India,South and West Asia,,Energy,1,Percent,60.5,,,,14.3,,14.9,,9,1.3,100,
Cities 2019,73749,Nagpur,India,South and West Asia,,Energy,1,Percent,100,0,0,0,0,0,0,0,0,0,100,
Cities 2019,74386,Gangtok,India,South and West Asia,,Energy,1,Percent,49.61,,0.49,,49.89,,,,,,99.99,
Cities 2019,834167,Kochi Municipal Corporation,India,South and West Asia,,Energy,1,Percent,0,0,0,0,99.93,0,0,0,0.07,0,100,
Cities 2019,31166,Jakarta City Government,Indonesia,Southeast Asia and Oceania,,Energy,1,Percent,0,99.94,0.06,0,0,0,0,0,0,0,100,
Cities 2019,54318,Government of Tangerang City,Indonesia,Southeast Asia and Oceania,,Energy,1,Percent,0.05,99.907,0.028,0,0,0,0,0,0,0.015,100,
Cities 2019,54329,Bogor City Government,Indonesia,Southeast Asia and Oceania,,Energy,1,Percent,0,0,0,0,100,0,0,0,0,0,100,
Cities 2019,54335,Government of the City of Yogyakarta,Indonesia,Southeast Asia and Oceania,,Energy,1,Percent,0,35,65,0,0,0,0,0,0,0,100,
Cities 2019,54349,Balikpapan City Government,Indonesia,Southeast Asia and Oceania,,Energy,1,Percent,0,2.04,51.48,0,0,0,0,0,46.48,0,100,
Cities 2019,59956,Banda Aceh City Government,Indonesia,Southeast Asia and Oceania,,Energy,1,Percent,,,99.9,,,,,,0.01,0.09,100,
Cities 2019,73750,Tarakan City,Indonesia,Southeast Asia and Oceania,,Energy,1,Percent,,41,59,,,,,,,,100,
Cities 2019,73762,Malang City,Indonesia,Southeast Asia and Oceania,,Energy,1,Percent,61,2,0,0,28.5,0.5,0,0,8,0,100,
Cities 2019,840514,Blitar City,Indonesia,Southeast Asia and Oceania,,Energy,1,Percent,0,0,0,0,100,0,0,0,0,0,100,
Cities 2019,35885,Tel Aviv-Yafo Municipality,Israel,Middle East,,Energy,1,Percent,36,62,,,,,,,2,,100,
Cities 2019,31173,Comune di Milano,Italy,Europe,,Energy,1,Percent,10.4,44.9,3.7,0,11.6,6.2,5.7,2,7.8,7.7,100,
Cities 2019,36158,Comune di Napoli,Italy,Europe,,Energy,1,Percent,0,22,16,0,0,0,0,0,1,61,100,
Cities 2019,36254,Comune di Venezia,Italy,Europe,,Energy,1,Percent,12,44,1,0,15,7,6,2,8,5,100,
Cities 2019,31113,City of Yokohama,Japan,East Asia,,Energy,1,Percent,20,60,1,0,3,0,0,0,0,16,100,
Cities 2019,36426,Riga City,Latvia,Europe,,Energy,1,Percent,0,98.18,0,0,0,1.51,0,0,0,0.31,100,
Cities 2019,58795,Blantyre City Council,Malawi,Africa,,Energy,1,Percent,46,5,2,1,10,2,5,5,5,19,100,
Cities 2019,31172,Mexico City,Mexico,Latin America,,Energy,1,Percent,0.02,31.19,68.75,0,0,0.04,0,0,0,0,100,
Cities 2019,50359,Gobierno Municipal de León de los Aldamas,Mexico,Latin America,,Energy,1,Percent,1.22,84.93,4.63,0,0,6.35,0,0,2.87,0,100,
Cities 2019,50382,Municipio de Mérida,Mexico,Latin America,,Energy,1,Percent,0,0,0,0,0,0,0,0,0,100,100,
Cities 2019,826207,Junta Intermunicipal de Medio Ambiente Region Valles (JIMAV),Mexico,Latin America,,Energy,1,Percent,0,0,100,0,0,0,0,0,0,0,100,
Cities 2019,834261,Municipality of Irapuato,Mexico,Latin America,,Energy,1,Percent,0,0,100,0,0,0,0,0,0,0,100,
Cities 2019,50792,Ville de Monaco,Monaco,Europe,,Energy,1,Percent,1.6,1.3,1,82.2,7.9,0.9,3.2,0,1.4,,99.5,
Cities 2019,58569,City of Podgorica,Montenegro,Europe,,Energy,1,Percent,51.9,0,0,0,41,3.2,3.9,0,0,0,100,
Cities 2019,43930,The Hague,Netherlands,Europe,,Energy,1,Percent,35,63,,,,0.43,0.48,,0.96,,99.87,
Cities 2019,43932,Auckland Council,New Zealand,Southeast Asia and Oceania,,Energy,1,Percent,2.3,12.7,0,0,60.5,0.8,5.4,17.5,0.1,0.7,100,
Cities 2019,54270,Palmerston North City Council,New Zealand,Southeast Asia and Oceania,,Energy,1,Percent,2.9,14.8,,,58.9,1.3,4.8,16.9,,0.4,100,
Cities 2019,31167,City of Lagos,Nigeria,Africa,,Energy,1,Percent,,100,,,,,,,,,100,
Cities 2019,14088,City of Oslo,Norway,Europe,,Energy,1,Percent,0,1,1,0,98,0,0,0,0,0,100,
Cities 2019,58395,Bærum Kommune,Norway,Europe,,Energy,1,Percent,0,0,4,0,94,0,2,0,0,0,100,
Cities 2019,60229,Municipality of Arendal,Norway,Europe,,Energy,1,Percent,0,0,0,0,98,0,0,0,0,2,100,
Cities 2019,43969,Ciudad de Asunción,Paraguay,Latin America,,Energy,1,Percent,66,34,40,,60,45,,,,,245,
Cities 2019,31170,Metropolitan Municipality of Lima,Peru,Latin America,,Energy,1,Percent,0,40,0,0,54,0,2,0,4,0,100,
Cities 2019,60391,Municipalidad de San Borja,Peru,Latin America,,Energy,1,Percent,1,54,9,3,20,0,0,0,0,13,100,
Cities 2019,54352,City of Muntinlupa,Philippines,Southeast Asia and Oceania,,Energy,1,Percent,48.17,32.92,4.13,0,7.68,0.11,0.27,6.72,0,0,100,
Cities 2019,60003,Baguio City,Philippines,Southeast Asia and Oceania,,Energy,1,Percent,,0.8,0.006,,99,,,,0.08,0.114,100,
Cities 2019,61467,Dipolog City,Philippines,Southeast Asia and Oceania,,Energy,1,Percent,67.77,0,0,0,42.23,0,0,0,,,110,
Cities 2019,834374,Tagum City,Philippines,Southeast Asia and Oceania,,Energy,1,Percent,0,30,0,0,0,0,0,0,0.5,69.5,100,
Cities 2019,840492,City of Malolos,Philippines,Southeast Asia and Oceania,,Energy,1,Percent,50,50,,,,,,,,,100,
Cities 2019,31185,City of Warsaw,Poland,Europe,,Energy,1,Percent,85,3.58,0,0,0.68,1.45,8.86,0,0.04,0.39,100,
Cities 2019,58424,Gdańsk,Poland,Europe,,Energy,1,Percent,61.27,2.22,0,0,14.85,2.92,15.07,0,0.36,3.31,100,
Cities 2019,36159,City of Lisbon,Portugal,Europe,,Energy,1,Percent,26,33,0,0,10,5,23,0,2,1,100,
Cities 2019,46514,City of Porto,Portugal,Europe,,Energy,1,Percent,20.9,20.9,2.2,0,28,5.1,20.7,0.3,1.4,0.5,100,
Cities 2019,50671,Município de Fafe,Portugal,Europe,,Energy,1,Percent,0,0,0,0,2,0,98,0,0,0,100,
Cities 2019,50673,Município de Faro,Portugal,Europe,,Energy,1,Percent,0,0,0,0,0.01,0,88.5,0,11.49,,100,
Cities 2019,50674,Município de Viseu,Portugal,Europe,,Energy,1,Percent,,,,,2,81,16,,1,,100,
Cities 2019,55324,Município de Guimarães,Portugal,Europe,,Energy,1,Percent,54.26,5.83,0,0,27.66,,,,12.25,,100,
Cities 2019,55325,Município de Águeda,Portugal,Europe,,Energy,1,Percent,9,6,0,3.3,15.9,0,40.5,0,0,25.3,100,
Cities 2019,55334,Município de Braga,Portugal,Europe,,Energy,1,Percent,79,21,,,,,,,,,100,
Cities 2019,826396,Munícipio de Sintra,Portugal,Europe,,Energy,1,Percent,39,17,2,0,20,4,15,0,1,2,100,
