Questionnaire Name,Account Number,Account Name,Country,CDP Region,ParentSection,Section,RowNumber,RowName,Coal,Gas,Oil,Nuclear,Hydro,Biomass,Wind,Geothermal,Solar,Other sources,Total - please ensure this equals 100%,Year data applies to
Cities 2020,1184,City of Austin,United States of America,North America,,Energy,1,Electricity source,26,13.5,0,23,0,1.6,28.4,0,7.5,,,2018
Cities 2020,1499,Ajuntament de Barcelona,Spain,Europe,,Energy,1,Electricity source,0,24.38,0.25,44.39,11.36,0.16,5.73,0,0.97,12.76,100,2018
Cities 2020,1850,Birmingham City Council,United Kingdom of Great Britain and Northern Ireland,Europe,,Energy,1,Electricity source,5,39.4,0,19.4,1.5,10.7,17.4,0,3.8,2.8,100,2018
Cities 2020,2185,Bristol City Council,United Kingdom of Great Britain and Northern Ireland,Europe,,Energy,1,Electricity source,3.5,30.3,0.2,13.5,2.6,10,25.6,0,0,14.3,100,2020
Cities 2020,2430,City of Burlington,United States of America,North America,,Energy,1,Electricity source,0,0,0.1,0,35.8,36,27.8,0,0.3,0,100,
Cities 2020,3203,City of Chicago,United States of America,North America,,Energy,1,Electricity source,26,34,0,34,2,0,3,0,0,1,100,
Cities 2020,3417,New York City,United States of America,North America,,Energy,1,Electricity source,0.27,56.14,1.44,31.92,6.43,2.14,0.9,0,0.32,0.44,100,2019
Cities 2020,3422,Greater London Authority,United Kingdom of Great Britain and Northern Ireland,Europe,,Energy,1,Electricity source,5.1,39.5,2.9,19.5,1.7,,17.1,0,3.9,10.4,,2018
Cities 2020,3429,City of Stockholm,Sweden,Europe,,Energy,1,Electricity source,3,2,0,21,53,6,10,,,5,,2018
Cities 2020,5871,Essex County Council,United Kingdom of Great Britain and Northern Ireland,Europe,,Energy,1,Electricity source,5.1,39.5,0.3,19.5,1.65,10.51,17.18,0,3.87,2.39,100,2018
Cities 2020,8242,City of Helsinki,Finland,Europe,,Energy,1,Electricity source,7.5,5.9,0.3,34.7,18.6,18.1,9.1,0,0.3,5.5,100,2019
Cities 2020,10495,City of Las Vegas,United States of America,North America,,Energy,1,Electricity source,0,70.9,0,0,1.54,0.38,2.01,11.9,11.36,1.91,100,2019
Cities 2020,10894,City of Los Angeles,United States of America,North America,,Energy,1,Electricity source,18,31,0,10,8,1,10,4,11,7,100,
Cities 2020,11315,City of Manchester,United Kingdom of Great Britain and Northern Ireland,Europe,,Energy,1,Electricity source,35.4,28.2,1,22.3,1.3,4.7,5.3,0.8,1,0,100,2018
Cities 2020,13067,City of New Orleans,United States of America,North America,,Energy,1,Electricity source,2,51,0,34,0,0,0,0,0,13,100,
Cities 2020,13113,Newcastle City Council,United Kingdom of Great Britain and Northern Ireland,Europe,,Energy,1,Electricity source,1.99,39.39,0.3,15.52,1.48,9.59,21.97,0,1.54,8.22,100,2019
Cities 2020,13506,Nottingham City Council,United Kingdom of Great Britain and Northern Ireland,Europe,,Energy,1,Electricity source,5.26,39.38,0.5,19.49,2.38,9.61,17.1,0,3.87,2.41,100,2018
Cities 2020,14088,City of Oslo,Norway,Europe,,Energy,1,Electricity source,0,1,1,0,98,0,0,0,0,0,100,
Cities 2020,14344,"City of Park City, UT",United States of America,North America,,Energy,1,Electricity source,61.96,15.4,0,0,5.18,0.43,7.1,0.38,0.08,9.47,100,2016
Cities 2020,14874,"City of Portland, OR",United States of America,North America,,Energy,1,Electricity source,38.1,25.2,0.1,0.4,25,0.4,9.7,0.1,0.3,0.7,100,2016
Cities 2020,16581,City of Seattle,United States of America,North America,,Energy,1,Electricity source,0,0,0,5,86,1,7,0,0,1,100,2018
Cities 2020,17411,Southend on Sea Borough Council,United Kingdom of Great Britain and Northern Ireland,Europe,,Energy,1,Electricity source,0.2,49.47,0,0,0,1.83,0,0,0,48.5,100,2005
Cities 2020,19233,Município de Torres Vedras,Portugal,Europe,,Energy,1,Electricity source,10,40,10,0,20,10,4,1,1,4,100,2014
Cities 2020,20113,City of Vancouver,Canada,North America,,Energy,1,Electricity source,0,2,0,0,91,6,1,0,0,0,100,2018
Cities 2020,31009,City of Copenhagen,Denmark,Europe,,Energy,1,Electricity source,19,6,1,4,11,13,38,0,4,4,100,2018
Cities 2020,31051,Coventry City Council,United Kingdom of Great Britain and Northern Ireland,Europe,,Energy,1,Electricity source,6,38,0,11,8.6,8.6,8.6,8.6,8.6,2,100,2019
Cities 2020,31052,City of Cardiff,United Kingdom of Great Britain and Northern Ireland,Europe,,Energy,1,Electricity source,,,,,,,,,,,,
Cities 2020,31056,Edinburgh City Council,United Kingdom of Great Britain and Northern Ireland,Europe,,Energy,1,Electricity source,3,26,0,12,4,9,13,0,27,6,100,2020
Cities 2020,31090,District of Columbia,United States of America,North America,,Energy,1,Electricity source,15.5,39.6,0.5,38.9,2,1.7,1,0,0.5,0.3,100,2018
Cities 2020,31108,City of Houston,United States of America,North America,,Energy,1,Electricity source,22.62,48.55,0.03,10,0.22,0.24,17.02,0,0.77,0.55,100,2018
Cities 2020,31109,City of Melbourne,Australia,Southeast Asia and Oceania,,Energy,1,Electricity source,75,6.2,,,5.5,1,8.8,,3,0.5,,2018
Cities 2020,31110,Roma Capitale,Italy,Europe,,Energy,1,Electricity source,,,,,,,,,,,,2018
Cities 2020,31111,Tokyo Metropolitan Government,Japan,East Asia,,Energy,1,Electricity source,20,58,2,,,,,,,20,,2018
Cities 2020,31112,Kaohsiung City Government,"Taiwan, Greater China",East Asia,,Energy,1,Electricity source,,,,,,,,,,,,
Cities 2020,31113,City of Yokohama,Japan,East Asia,,Energy,1,Electricity source,5,46,14,20,16,0,0,0,0,0,101,2017
Cities 2020,31114,City of Sydney,Australia,Southeast Asia and Oceania,,Energy,1,Electricity source,62.7,19.6,2,0,6.3,1.4,4.9,0,3.1,,,2019
Cities 2020,31115,City of Johannesburg,South Africa,Africa,,Energy,1,Electricity source,99.3,0,0,0,0,0.3,0,0,0.4,0,100,2019
Cities 2020,31117,City of Toronto,Canada,North America,,Energy,1,Electricity source,,29,,34,23,1,12,,1,,,2020
Cities 2020,31146,Addis Ababa City Administration,Ethiopia,Africa,,Energy,1,Electricity source,,,,,70,,10,10,10,,,2020
Cities 2020,31148,City of Amsterdam,Netherlands,Europe,,Energy,1,Electricity source,,,,,,,,,,,,
Cities 2020,31149,City of Athens,Greece,Europe,,Energy,1,Electricity source,32.3,26.4,10.4,0,5.89,12.77,5.47,0.12,6.65,0,100,2018
Cities 2020,31150,Bangkok Metropolitan Administration,Thailand,Southeast Asia and Oceania,,Energy,1,Electricity source,17.7,60.2,0.1,0,6.2,6.6,2,0,5.6,1.6,100,2017
Cities 2020,31153,City of Berlin,Germany,Europe,,Energy,1,Electricity source,56,38,1,0,0,2,0,0,1,2,100,2017
Cities 2020,31154,Bogotá Distrito Capital,Colombia,Latin America,,Energy,1,Electricity source,3.6,9.33,0.1,,86.01,0.95,0.01,,0.01,,,2017
Cities 2020,31155,City of Buenos Aires,Argentina,Latin America,,Energy,1,Electricity source,0.33,57.7,1.77,5.92,27.49,0.41,3.73,0,0.6,2.05,100,2019
Cities 2020,31156,Municipality of Curitiba,Brazil,Latin America,,Energy,1,Electricity source,4.1,10.5,2.5,2.6,65.2,8.2,6.9,,,0,,2017
Cities 2020,31157,City of Delhi,India,South and West Asia,,Energy,1,Electricity source,58.11,27.9,,1.36,9.76,,,,2.87,2,,2020
Cities 2020,31163,Istanbul Metropolitan Municipality,Turkey,Europe,,Energy,1,Electricity source,28.4,37.8,1.6,0,25.8,0.7,4.4,1.3,0,0,100,
Cities 2020,31165,Stadt Heidelberg,Germany,Europe,,Energy,1,Electricity source,28.3,15.1,0.8,12.4,3.3,7.4,20.9,0,7.5,4.3,100,2019
Cities 2020,31166,Jakarta City Government,Indonesia,Southeast Asia and Oceania,,Energy,1,Electricity source,0,99.94,0.06,0,0,0,0,0,0,0,100,2019
Cities 2020,31167,City of Lagos,Nigeria,Africa,,Energy,1,Electricity source,,99,,,,,,,1,,,2020
Cities 2020,31168,City District Government Karachi,Pakistan,South and West Asia,,Energy,1,Electricity source,,,,,,,,,,,,
Cities 2020,31169,Government of Hong Kong Special Administrative Region,"China, Hong Kong Special Administrative Region",East Asia,,Energy,1,Electricity source,44,29.1,0.3,26.6,0,0,0,0,0,0,100,2020
Cities 2020,31170,Metropolitan Municipality of Lima,Peru,Latin America,,Energy,1,Electricity source,0,40,0,0,54,0,2,0,4,0,100,2019
Cities 2020,31171,Ayuntamiento de Madrid,Spain,Europe,,Energy,1,Electricity source,14.11,21.13,5.28,20.32,13.41,2.56,18.54,,4.64,,,
Cities 2020,31172,Mexico City,Mexico,Latin America,,Energy,1,Electricity source,31,48,21,0,0,0,0,0,0,0,100,2018
Cities 2020,31173,Comune di Milano,Italy,Europe,,Energy,1,Electricity source,10.4,44.9,3.7,0,11.6,6.2,5.7,2,7.8,7.7,100,
Cities 2020,31174,Moscow Government,Russian Federation,Europe,,Energy,1,Electricity source,0,99.25,0,0,0.12,0.2,,,0.02,0.38,,2018
Cities 2020,31175,City of Paris,France,Europe,,Energy,1,Electricity source,1.1,5.7,0.3,71.7,12.4,1.7,5.1,0,2,0,100,2018
Cities 2020,31176,Prefeitura do Rio de Janeiro,Brazil,Latin America,,Energy,1,Electricity source,2.2,7.5,0.8,2.6,71.1,4.8,9.6,0,0.9,0.5,100,2019
Cities 2020,31177,Salt Lake City,United States of America,North America,,Energy,1,Electricity source,58.89,10.57,0,0,7.09,0.37,8.56,0.39,3.54,10.59,100,
Cities 2020,31179,Gemeente Rotterdam,Netherlands,Europe,,Energy,1,Electricity source,86.6,8.2,0.5,0,0,3,1.5,0,0.1,0.1,100,2018
Cities 2020,31180,Región Metropolitana de Santiago,Chile,Latin America,,Energy,1,Electricity source,18.79,15.32,15.57,0,28.4,1.9,8.16,0.16,11.7,0,100,2020
Cities 2020,31181,City of Philadelphia,United States of America,North America,,Energy,1,Electricity source,17.6,38,0.2,39.7,0.9,1.9,1,0,0.4,0.3,100,2016
Cities 2020,31182,City of San Francisco,United States of America,North America,,Energy,1,Electricity source,0,8,0,18,37,2,14,4,10,7,100,2018
Cities 2020,31184,Prefeitura de São Paulo,Brazil,Latin America,,Energy,1,Electricity source,3.2,8.6,2.4,2.5,66.6,8.5,7.6,0,0.5,0.1,100,
Cities 2020,31185,City of Warsaw,Poland,Europe,,Energy,1,Electricity source,85,3.58,0,0,0.68,1.45,8.86,0,0.04,0.39,100,
Cities 2020,31186,Changwon City,Republic of Korea,East Asia,,Energy,1,Electricity source,78.9,0.5,0,0,15.7,0.48,0,2.18,2.24,0,100,
Cities 2020,31187,Seoul Metropolitan Government,Republic of Korea,East Asia,,Energy,1,Electricity source,40.7,24.9,0.7,26.3,0.6,0.2,0,0,1.3,5.3,100,2019
Cities 2020,31446,Taipei City Government,"Taiwan, Greater China",East Asia,,Energy,1,Electricity source,37.3,38.2,1.9,13.4,3.7,1.2,0.8,0,1.7,1.8,100,2019
Cities 2020,32480,City of Adelaide,Australia,Southeast Asia and Oceania,,Energy,1,Electricity source,0,47.4,1,0,0,0,39.5,0,11.6,0.3,99.8,2019
Cities 2020,32550,City of Denver,United States of America,North America,,Energy,1,Electricity source,39,33,0,0,1,0,24,0,3,0,100,2018
Cities 2020,35268,City of Boston,United States of America,North America,,Energy,1,Electricity source,1,49,1,30,8,,3,,,8,,2018
Cities 2020,35274,"City of Portland, ME",United States of America,North America,,Energy,1,Electricity source,0.05,48.5,0.02,30.5,9,2.5,3.6,0,1.7,4.13,100,2020
Cities 2020,35393,City of St Louis,United States of America,North America,,Energy,1,Electricity source,,13,5,,,,,,,82,,
Cities 2020,35449,Stadt Zürich,Switzerland,Europe,,Energy,1,Electricity source,0,0,0,6.37,75.92,2.51,2.43,0,1.26,11.51,100,2018
Cities 2020,35475,City of Calgary,Canada,North America,,Energy,1,Electricity source,42.05,47.91,,,2.26,2.4,4.95,,0.026,0.4,,
Cities 2020,35755,Village of Kadiovacik,Turkey,Europe,,Energy,1,Electricity source,23,28,0,0,32,0,10,2,3,2,100,2020
Cities 2020,35848,Municipality of Belo Horizonte,Brazil,Latin America,,Energy,1,Electricity source,3.3,9.3,2,2.5,64.9,8.4,8.6,0,1,0,100,2019
Cities 2020,35853,City of Baltimore,United States of America,North America,,Energy,1,Electricity source,31.13,28.68,0.21,34.53,1.5,0.99,2.63,0,0.26,0.07,100,
Cities 2020,35854,City of Brussels,Belgium,Europe,,Energy,1,Electricity source,37.3,,,46.5,1.2,37.3,10.2,,4.2,0.5,,2019
Cities 2020,35857,City of Cincinnati,United States of America,North America,,Energy,1,Electricity source,64.5,10.8,0.6,19.8,0.6,0.6,2.3,0,0.1,0.7,100,
Cities 2020,35858,City of Cape Town,South Africa,Africa,,Energy,1,Electricity source,89.6,0.015,0.401,4.699,0.54,0.015,2.874,0,1.794,0.062,100,2018
Cities 2020,35859,City of Cleveland,United States of America,North America,,Energy,1,Electricity source,34.85,25.34,0.03,30.47,5.74,0.38,2.28,0,0.02,0.89,100,2018
Cities 2020,35860,City of Dallas,United States of America,North America,,Energy,1,Electricity source,20,47,0.1,11,0.1,0.1,20,0,1.2,0.5,100,2019
Cities 2020,35862,City of Detroit,United States of America,North America,,Energy,1,Electricity source,60.8,7.89,0.21,22.87,0.14,1.2,6.36,0,0.06,0.47,100,
Cities 2020,35863,eThekwini Municipality,South Africa,Africa,,Energy,1,Electricity source,88,2,0,5,0,0,3,0,2,0,100,
Cities 2020,35864,Ekurhuleni Metropolitan Municipality,South Africa,Africa,,Energy,1,Electricity source,,,0,0,0,0,0,0,,0,,2020
Cities 2020,35865,Municipality of Fortaleza,Brazil,Latin America,,Energy,1,Electricity source,2.2,7.7,5.8,1.18,60.76,8.71,7.81,0,0.77,5.07,100,2019
Cities 2020,35867,Region Metropolitana de Guadalajara,Mexico,Latin America,,Energy,1,Electricity source,,53.2,25.75,4.3,10.2,0.2,3.9,1.7,0.7,0.5,,2020
Cities 2020,35870,City of Miami,United States of America,North America,,Energy,1,Electricity source,2.1,72.3,0.3,22.3,0,0,0,0,1.5,1.5,100,2018
Cities 2020,35872,Municipality of Recife,Brazil,Latin America,,Energy,1,Electricity source,2.8,30.2,4.1,2.6,51.2,0.9,5.1,0,0,3.1,100,2019
Cities 2020,35873,Municipality of Medellín,Colombia,Latin America,,Energy,1,Electricity source,8.2,9.4,11.3,,66.3,,0.1,,,4.8,,
Cities 2020,35874,City of Phoenix,United States of America,North America,,Energy,1,Electricity source,26.7,41.1,0,18.8,3.4,0.4,1.8,3.4,4.4,0,100,
Cities 2020,35877,City of Pittsburgh,United States of America,North America,,Energy,1,Electricity source,22,8.3,,69.4,0.3,,,,,,,
Cities 2020,35878,City of Sacramento,United States of America,North America,,Energy,1,Electricity source,0,41,0,0,14,12,7,1,3,23,101,
Cities 2020,35879,City of Minneapolis,United States of America,North America,,Energy,1,Electricity source,23,23,0,28,6,2,15,0,3,0,100,2019
Cities 2020,35880,Municipality of Porto Alegre,Brazil,Latin America,,Energy,1,Electricity source,0.02,0.083,0.051,0.011,0.604,0.084,0.087,,0.016,0.045,,2020
Cities 2020,35883,City of San José,United States of America,North America,,Energy,1,Electricity source,0,0,0,0,36,5,10,2,30,17,100,2019
Cities 2020,35884,City of San Diego,United States of America,North America,,Energy,1,Electricity source,,29,,,,2,21,,20,28,,2018
Cities 2020,35885,Tel Aviv-Yafo Municipality,Israel,Middle East,,Energy,1,Electricity source,25,70,,,,,0.7,,4.3,,,2019
Cities 2020,35886,Comune di Torino,Italy,Europe,,Energy,1,Electricity source,10,45,1,4,17,7,6,2,8,0,100,2018
Cities 2020,35893,City of Dar es Salaam,United Republic of Tanzania,Africa,,Energy,1,Electricity source,0.25,5,8,0,1.5,85,0,0,0.25,0,100,2020
Cities 2020,35894,Ville de Montreal,Canada,North America,,Energy,1,Electricity source,0,0.03,0,0.36,93.34,0.88,5.37,0,0,0.02,100,2019
Cities 2020,35897,Municipality of Campinas,Brazil,Latin America,,Energy,1,Electricity source,2.4,9.6,1.3,2.6,63.5,8.3,8.9,0,1.1,2.3,100,2019
Cities 2020,35898,Greater Manchester,United Kingdom of Great Britain and Northern Ireland,Europe,,Energy,1,Electricity source,35.4,28.2,1,22.3,1.3,4.7,5.3,0.8,1,0,100,
Cities 2020,35903,Le Grand Casablanca,Morocco,Africa,,Energy,1,Electricity source,21.7,5,62,0,0.5,6.5,0.6,0.6,0.6,2.5,100,
Cities 2020,35905,Corporation of Chennai,India,South and West Asia,,Energy,1,Electricity source,52.5,3.4,0,5.9,4.6,0.6,7.6,0,1.2,24.2,100,
Cities 2020,35907,Bangalore,India,South and West Asia,,Energy,1,Electricity source,85,,,,15,,5,,5,,,
Cities 2020,35913,City of Nairobi,Kenya,Africa,,Energy,1,Electricity source,,,,,,,,,,,,
Cities 2020,35993,Singapore Government,Singapore,Southeast Asia and Oceania,,Energy,1,Electricity source,1.08,95.74,0.15,0,0,2.39,0,0,0.57,0.07,100,2020
Cities 2020,36002,Ville de Kinshasa,Democratic Republic of the Congo,Africa,,Energy,1,Electricity source,,,,,,,,,,,,
Cities 2020,36004,City of Abidjan,Côte d'Ivoire,Africa,,Energy,1,Electricity source,,,,,,,,,,,,
Cities 2020,36032,Ville de Dakar,Senegal,Africa,,Energy,1,Electricity source,75,1,,,,,,,,24,,2016
Cities 2020,36036,City of Ibadan,Nigeria,Africa,,Energy,1,Electricity source,0,15,35,0,40,0,0,5,5,,,
Cities 2020,36037,Santiago de Cali,Colombia,Latin America,,Energy,1,Electricity source,,,,,95,,,,5,,,
Cities 2020,36039,Accra Metropolitan Assembly,Ghana,Africa,,Energy,1,Electricity source,,,,,,,,,,,,
Cities 2020,36043,Abuja Federal Capital Territory,Nigeria,Africa,,Energy,1,Electricity source,0,15,0,0,70,9,2,0,4,0,100,2019
Cities 2020,36044,Seferihisar Municipality,Turkey,Europe,,Energy,1,Electricity source,,,,0,,0,,,,,,
Cities 2020,36152,Tallinn City Council,Estonia,Europe,,Energy,1,Electricity source,0,20,0,0,0,40,3,0,2,35,100,2019
Cities 2020,36158,Comune di Napoli,Italy,Europe,,Energy,1,Electricity source,0,22,16,0,0,0,0,0,1,61,100,
Cities 2020,36159,City of Lisbon,Portugal,Europe,,Energy,1,Electricity source,26,33,0,0,10,5,23,0,2,1,100,
Cities 2020,36223,Antananarivo,Madagascar,Africa,,Energy,1,Electricity source,,,80,0,20,0,0,0,0,,,2019
Cities 2020,36254,Comune di Venezia,Italy,Europe,,Energy,1,Electricity source,12,44,1,0,15,7,6,2,8,5,100,
Cities 2020,36261,Comune di Bolzano,Italy,Europe,,Energy,1,Electricity source,,,,,,,,,,,,
Cities 2020,36262,Comune di Genova,Italy,Europe,,Energy,1,Electricity source,,4.228471,,,,,,,8.5,,,2019
Cities 2020,36274,Comune di Bologna,Italy,Europe,,Energy,1,Electricity source,0,74,0,0,4.16,12.27,0.16,0,9.41,0,100,2017
Cities 2020,36282,Comune di Chieti,Italy,Europe,,Energy,1,Electricity source,,,,,,,,,,,,
Cities 2020,36285,Comune di Firenze,Italy,Europe,,Energy,1,Electricity source,,,,,,,,,,,,
Cities 2020,36286,Comune di Ferrara,Italy,Europe,,Energy,1,Electricity source,23.7,33.1,1,4.2,20,5,0,1,8,0,96,
Cities 2020,36410,City of Memphis,United States of America,North America,,Energy,1,Electricity source,24,20,0,37,9,0,1,0,2,7,100,2016
Cities 2020,36426,Riga City,Latvia,Europe,,Energy,1,Electricity source,0,98.04,0,0,0,1.62,0,0,0,0.34,100,2019
Cities 2020,36469,Comune dell'Aquila,Italy,Europe,,Energy,1,Electricity source,,,,,,,,,,,,
Cities 2020,36470,Comune della Spezia,Italy,Europe,,Energy,1,Electricity source,,43.38,,,,,,,,,,
Cities 2020,36477,Comune di Lucca,Italy,Europe,,Energy,1,Electricity source,,,,,,,,,,,,
Cities 2020,36492,Comune di Parma,Italy,Europe,,Energy,1,Electricity source,,,,0,0,0,,,,,,
Cities 2020,36494,Comune di Padova,Italy,Europe,,Energy,1,Electricity source,11,48.3,3.9,0,12.8,6.6,6,2.1,8.2,1.1,100,2017
Cities 2020,36501,Comune di Prato,Italy,Europe,,Energy,1,Electricity source,12.47,39.06,0.54,4.11,17.53,6.83,6.22,2.17,8.08,2.99,100,2018
Cities 2020,36504,Comune di Rimini,Italy,Europe,,Energy,1,Electricity source,,,,,,,,,,,,
Cities 2020,37241,City of Berkeley,United States of America,North America,,Energy,1,Electricity source,0,6,0,13,12,2,27,2,28,10,100,2018
Cities 2020,37261,City of Pietermaritzburg,South Africa,Africa,,Energy,1,Electricity source,,,,,,,,,,,,
Cities 2020,42120,City of Salvador,Brazil,Latin America,,Energy,1,Electricity source,5,6,7,,54,3,13,,12,,,2018
Cities 2020,42123,City of Goiânia,Brazil,Latin America,,Energy,1,Electricity source,0,0,8,0,90,0,0,0,0,2,100,
Cities 2020,42178,Distrito Metropolitano de Quito,Ecuador,Latin America,,Energy,1,Electricity source,0,,9.9,0,90,0.1,0,0,0,0,,2019
Cities 2020,42384,Göteborgs Stad,Sweden,Europe,,Energy,1,Electricity source,0.23,0.55,0.19,40.94,38.94,3.13,9.94,0,0.24,5.84,100,2018
Cities 2020,42388,Intendencia de Montevideo,Uruguay,Latin America,,Energy,1,Electricity source,0,0,0,0,58.84,26.97,13.33,0,0.85,,,2018
Cities 2020,43905,City of San Antonio,United States of America,North America,,Energy,1,Electricity source,22.4,32.9,0,29.8,0,0,7.5,0,7.4,,,2019
Cities 2020,43907,City of Indianapolis,United States of America,North America,,Energy,1,Electricity source,43,45,2,0,0,0,8,0,2,0,100,2019
Cities 2020,43908,City of Milwaukee,United States of America,North America,,Energy,1,Electricity source,56,7,6.84,12,12,2.4,3.2,0,0.56,,,
Cities 2020,43909,City of Orlando,United States of America,North America,,Energy,1,Electricity source,50,41,0,7,0,0,0,0,2,0,100,
Cities 2020,43910,City of Columbus,United States of America,North America,,Energy,1,Electricity source,49.8,16.7,0.4,27.6,0.9,0.6,3.2,0,0.1,0.7,100,2017
Cities 2020,43911,City of Ottawa,Canada,North America,,Energy,1,Electricity source,,,,,,,,,,,,
Cities 2020,43912,City of Edmonton,Canada,North America,,Energy,1,Electricity source,35,46,0,0,5,0,11,0,0,3,100,2019
Cities 2020,43914,City of Charlotte,United States of America,North America,,Energy,1,Electricity source,31.3,12.7,0.1,54.5,1.4,0,0,0,0,0,100,2019
Cities 2020,43917,Sofia Municipality,Bulgaria,Europe,,Energy,1,Electricity source,68.37,0.43,0,16.27,9.72,0.82,1.43,0,2.67,0.29,100,2019
Cities 2020,43920,City of Ljubljana,Slovenia,Europe,,Energy,1,Electricity source,47,12,0,38,0.9,0.16,0.32,0.4,0.22,1,100,
Cities 2020,43926,City of Mannheim,Germany,Europe,,Energy,1,Electricity source,9,44,33,3,1,2,4,0,2,0,98,2020
Cities 2020,43928,Canberra,Australia,Southeast Asia and Oceania,,Energy,1,Electricity source,0,0,0,0,4,0,71,0,25,0,100,2020
Cities 2020,43930,The Hague,Netherlands,Europe,,Energy,1,Electricity source,35,63,,0.13,,0.43,0.48,,0.96,,,
Cities 2020,43932,Auckland Council,New Zealand,Southeast Asia and Oceania,,Energy,1,Electricity source,3.4,12.5,0,0,60.5,0.6,4.8,17.2,0.2,0.8,100,2018
Cities 2020,43934,City of Perth,Australia,Southeast Asia and Oceania,,Energy,1,Electricity source,26.8,60.2,5.3,0,0.5,0.3,3.9,0,3,0,100,2018
Cities 2020,43937,Wellington City Council,New Zealand,Southeast Asia and Oceania,,Energy,1,Electricity source,4,10,,,61,2,6,17,,,,2019
Cities 2020,43938,"The Executive Council, Govt of Dubai",United Arab Emirates,Middle East,,Energy,1,Electricity source,0,93.8,0,0,0,0,0,0,6.2,0,100,2019
Cities 2020,43940,Malmö Stad,Sweden,Europe,,Energy,1,Electricity source,0.41,23.04,0.14,21.7,22.12,9.57,18.61,0,0.01,4.4,100,
Cities 2020,43970,Alcaldía Distrital de Barranquilla,Colombia,Latin America,,Energy,1,Electricity source,,,,,,,,,,,,
Cities 2020,43975,Municipalidad de Magdalena del Mar,Peru,Latin America,,Energy,1,Electricity source,,50,,,30,,10,,5,,,
Cities 2020,44077,Kampala City,Uganda,Africa,,Energy,1,Electricity source,,,47,,17,36,,,,,,
Cities 2020,44080,City of Kitakyushu,Japan,East Asia,,Energy,1,Electricity source,,,,,,,,,,,,
Cities 2020,44081,Lusaka City Council,Zambia,Africa,,Energy,1,Electricity source,10,3.5,0,0,80.8,2.7,0,0,3,0,100,2019
Cities 2020,44185,Suwon City,Republic of Korea,East Asia,,Energy,1,Electricity source,45.4,16.9,,30.3,0.44,0.99,0.29,,0.94,4.74,,2017
Cities 2020,44191,Ansan City,Republic of Korea,East Asia,,Energy,1,Electricity source,0,0,0,0,0,0,0,0,0,0,0,
Cities 2020,44196,Hwaseong Metropolitan Government,Republic of Korea,East Asia,,Energy,1,Electricity source,,,,,,,,,,,,
Cities 2020,44205,Gwangmyeong City,Republic of Korea,East Asia,,Energy,1,Electricity source,,95,,,,,,,5,,,2020
Cities 2020,44210,Yeosu Metropolitan Government,Republic of Korea,East Asia,,Energy,1,Electricity source,,,,,,,,,,,,
Cities 2020,44299,Dangjin City,Republic of Korea,East Asia,,Energy,1,Electricity source,80,15,0,0,0,0,0,0,0,5,100,2017
Cities 2020,45219,Município de Aparecida,Brazil,Latin America,,Energy,1,Electricity source,,,,,,,,,,,,
Cities 2020,46263,Amdavad Municipal Corporation (Ahmedabad),India,South and West Asia,,Energy,1,Electricity source,,,,,,,,,,,,
Cities 2020,46470,Ayuntamiento de Vitoria-Gasteiz,Spain,Europe,,Energy,1,Electricity source,4.3,30.3,1.2,22.6,10,3,21.5,0,5.7,1.4,100,2019
Cities 2020,46473,City of Zaragoza,Spain,Europe,,Energy,1,Electricity source,,,,,,,,,,,,
Cities 2020,46514,City of Porto,Portugal,Europe,,Energy,1,Electricity source,24.68,31.79,2.15,0,12.84,5.42,20.61,0.36,1.67,0.48,100,2017
Cities 2020,49172,City of St. Petersburg,United States of America,North America,,Energy,1,Electricity source,33,42,0,18,5,,,,2,,,
Cities 2020,49327,City of Providence,United States of America,North America,,Energy,1,Electricity source,6.8,35.1,4.5,22.6,2.6,0.1,6.8,0,2.7,18.8,100,2019
