Questionnaire Name,Account Number,Account Name,Country,CDP Region,ParentSection,Section,RowNumber,RowName,Coal,Gas,Oil,Nuclear,Hydro,Biomass,Wind,Geothermal,Solar,Other sources,Total - please ensure this equals 100%,Year data applies to
Cities 2020,49330,Kansas City,United States of America,North America,,Energy,1,Electricity source,40,26,0,7,0,0,21,0,6,0,100,2020
Cities 2020,49333,"City of Louisville, KY",United States of America,North America,,Energy,1,Electricity source,60,37,0,0,3,0,0,0,0,0,100,
Cities 2020,49334,"City of Richmond, VA",United States of America,North America,,Energy,1,Electricity source,9.3,52.6,1,30.9,0.5,4.9,0,0,0.8,0,100,2018
Cities 2020,49335,Metropolitan Government of Nashville and Davidson County,United States of America,North America,,Energy,1,Electricity source,24,20,0,37,9,0,1.5,0,1.5,7,100,2019
Cities 2020,49339,City and County of Honolulu,United States of America,North America,,Energy,1,Electricity source,18.6,0,64,0,0,0,2.6,0,8.9,5.9,100,2017
Cities 2020,49342,City of Rochester,United States of America,North America,,Energy,1,Electricity source,1,8,2,41,40,,7,,,3,,2019
Cities 2020,49345,City of Birmingham,United States of America,North America,,Energy,1,Electricity source,100,,,,,,,,,,,2020
Cities 2020,49347,City of Omaha,United States of America,North America,,Energy,1,Electricity source,65.96,3.12,0.03,27.42,3.47,0,0,0,0,0,100,
Cities 2020,49360,City of Tshwane,South Africa,Africa,,Energy,1,Electricity source,,,,,,,,,,,,
Cities 2020,49362,Ulaanbaatar City,Mongolia,East Asia,,Energy,1,Electricity source,100,0,0,0,0,0,0,0,0,0,100,2020
Cities 2020,49367,Freetown City,Sierra Leone,Africa,,Energy,1,Electricity source,,,42,,58,,,,,,,2018
Cities 2020,49389,Kyoto,Japan,East Asia,,Energy,1,Electricity source,,,,,,,,,,,,
Cities 2020,50154,City of Turku,Finland,Europe,,Energy,1,Electricity source,21,3.8,0.2,16.7,28.1,12.6,2.7,0,0,14.9,100,2015
Cities 2020,50203,Gaziantep Metropolitan Municipality,Turkey,Europe,,Energy,1,Electricity source,30,56,0,0,0,0,0,0,0,14,100,
Cities 2020,50208,Adana Metropolitan Municipality,Turkey,Europe,,Energy,1,Electricity source,,,,,,,,,,,,
Cities 2020,50220,Métropole Nice Côte d'Azur,France,Europe,,Energy,1,Electricity source,1.4,6.6,0.6,72.3,12,1.6,3.9,,1.6,,,2016
Cities 2020,50354,Alcaldía de Tegucigalpa,Honduras,Latin America,,Energy,1,Electricity source,,,,,,,,,,,,
Cities 2020,50356,Ayuntamiento de Morelia,Mexico,Latin America,,Energy,1,Electricity source,,1,30,,,,,,10,,,
Cities 2020,50357,Ciudad de Mendoza,Argentina,Latin America,,Energy,1,Electricity source,,,,,,,,,,,,
Cities 2020,50358,Gobierno Municipal de Toluca de Lerdo,Mexico,Latin America,,Energy,1,Electricity source,,,,,100,,,,,,,2010
Cities 2020,50359,Gobierno Municipal de León de los Aldamas,Mexico,Latin America,,Energy,1,Electricity source,1.22,84.93,4.63,0,0,6.35,0,0,2.87,0,100,2018
Cities 2020,50361,Ayuntamiento de Hermosillo,Mexico,Latin America,,Energy,1,Electricity source,0,59,0,0,0,1,0,0,40,0,100,2019
Cities 2020,50364,Municipalidad de La Paz,Bolivia (Plurinational State of),Latin America,,Energy,1,Electricity source,,68.15,1.5,,28,1,0.1,,,,,2013
Cities 2020,50365,Municipalidad  de Valparaíso,Chile,Latin America,,Energy,1,Electricity source,,,,,,,,,,,,
Cities 2020,50368,Municipalidad de Provincial de Arequipa,Peru,Latin America,,Energy,1,Electricity source,,,,,,,,,,,,
Cities 2020,50370,Municipalidad de Tampico,Mexico,Latin America,,Energy,1,Electricity source,6,5,68,4,12,0,1,3,1,0,100,2015
Cities 2020,50375,Ayuntamiento de Chihuahua,Mexico,Latin America,,Energy,1,Electricity source,,,,0,,,,0,,,,
Cities 2020,50377,Municipio de Querétaro,Mexico,Latin America,,Energy,1,Electricity source,,,,,,,,,,,,
Cities 2020,50378,Municipalidad de San José,Costa Rica,Latin America,,Energy,1,Electricity source,0,0,0.85,0,69.18,0.64,15.88,13.37,0.08,0,100,2019
Cities 2020,50380,Municipio de Bucaramanga,Colombia,Latin America,,Energy,1,Electricity source,7,12,10,0,70,0,0,0,0,,,
Cities 2020,50381,Municipio de Torreón,Mexico,Latin America,,Energy,1,Electricity source,0,0,70,0,15,0,0,0,15,0,100,2020
Cities 2020,50383,Prefeitura de Sorocaba,Brazil,Latin America,,Energy,1,Electricity source,4.1,10.5,2.5,2.5,65.3,8.2,6.8,0,0.1,0,100,2017
Cities 2020,50384,Prefeitura de Florianópolis,Brazil,Latin America,,Energy,1,Electricity source,,,,,,,,,,,,
Cities 2020,50385,Prefeitura de Campo Grande,Brazil,Latin America,,Energy,1,Electricity source,,,,,,,,,,,,
Cities 2020,50386,Prefeitura de Cuiabá,Brazil,Latin America,,Energy,1,Electricity source,,,,,,,,,,,,
Cities 2020,50387,Prefeitura de Guarulhos,Brazil,Latin America,,Energy,1,Electricity source,,,,,,,,,,,,
Cities 2020,50389,Prefeitura de Maceió,Brazil,Latin America,,Energy,1,Electricity source,,10,,,90,,,,,,,2020
Cities 2020,50392,Prefeitura de Vitória,Brazil,Latin America,,Energy,1,Electricity source,,,,,,,,,,,,
Cities 2020,50394,Prefeitura Municipal de João Pessoa,Brazil,Latin America,,Energy,1,Electricity source,2.2147,7.7441,5.8967,1.1855,60.8352,8.6988,7.6921,0,0.7783,4.9546,100,
Cities 2020,50398,Ciudad de Juárez,Mexico,Latin America,,Energy,1,Electricity source,0,100,0,0,0,0,0,0,0,0,100,2019
Cities 2020,50540,City of Albuquerque,United States of America,North America,,Energy,1,Electricity source,28,30,5,15,0,0,13,0.5,8.5,0,100,2019
Cities 2020,50541,City of Greensboro,United States of America,North America,,Energy,1,Electricity source,33,10,0,51,3.5,0,0.1,0.1,0.3,2,100,2013
Cities 2020,50543,Halifax Regional Municipality,Canada,North America,,Energy,1,Electricity source,57.8,9.9,4.7,0,10.8,4.1,12.7,0,0,0,100,2018
Cities 2020,50544,"City of Aurora, IL",United States of America,North America,,Energy,1,Electricity source,8,56,36,0,0,0,0,0,0,0,100,
Cities 2020,50545,City of Henderson,United States of America,North America,,Energy,1,Electricity source,7.53,75.36,0,0.3,2.44,0.34,1.81,6.58,5.62,0.02,100,2019
Cities 2020,50549,City of Fort Worth,United States of America,North America,,Energy,1,Electricity source,20,47.3,0,11,0.3,0.2,20,0,1.2,0,100,
Cities 2020,50550,City of Buffalo,United States of America,North America,,Energy,1,Electricity source,,,,,,,,,,,,
Cities 2020,50551,City of Long Beach,United States of America,North America,,Energy,1,Electricity source,0,20,0,6,9,0,10,8,13,34,100,
Cities 2020,50555,City of Hamilton,Canada,North America,,Energy,1,Electricity source,0,6,0,61,25,0.5,7,0,0.5,0,100,2018
Cities 2020,50558,"City of London, ON",Canada,North America,,Energy,1,Electricity source,0,6.2,0,58.4,23.9,0.5,8,0,2.3,,,2018
Cities 2020,50559,"City of St Catharines, ON",Canada,North America,,Energy,1,Electricity source,0,3,1,60,26,1,7,0,2,0,100,2018
Cities 2020,50560,City of Oakland,United States of America,North America,,Energy,1,Electricity source,0,20,0,27,21,4,8,5,13,2,100,
Cities 2020,50565,City of Toledo,United States of America,North America,,Energy,1,Electricity source,59,40,0,0,0,0,0,0,1,0,100,
Cities 2020,50566,City of Anchorage,United States of America,North America,,Energy,1,Electricity source,0,86.3,0,0,10.9,0,1.4,0,0,1.4,100,2018
Cities 2020,50568,City of Saskatoon,Canada,North America,,Energy,1,Electricity source,31,45,0,0,18,0,5,0,0,1,100,2019
Cities 2020,50571,City of Victoria,Canada,North America,,Energy,1,Electricity source,0,2,0,0,96,2,0,0,0,0,100,
Cities 2020,50572,"City of Saint Paul, MN",United States of America,North America,,Energy,1,Electricity source,26,33,0,13,0,4,21,0,3,0,100,2019
Cities 2020,50578,City of Windsor,Canada,North America,,Energy,1,Electricity source,0,6,0,61,25,0.5,7,0,0.5,0,100,2019
Cities 2020,50650,City of Gibraltar,Gibraltar,Europe,,Energy,1,Electricity source,,,99.8,,,,,,0.2,,,2018
Cities 2020,50665,Município de Ovar,Portugal,Europe,,Energy,1,Electricity source,23,19,32,,26,,,,,,,
Cities 2020,50671,Município de Fafe,Portugal,Europe,,Energy,1,Electricity source,0,0,0,0,2,0,98,0,0,0,100,
Cities 2020,50673,Município de Faro,Portugal,Europe,,Energy,1,Electricity source,0,0,0,0,0,0,88,0,11,1,100,
Cities 2020,50674,Município de Viseu,Portugal,Europe,,Energy,1,Electricity source,0,0,0,0,14.3,6,22.9,0.4,1.9,0,45.5,2018
Cities 2020,50678,Município de Évora,Portugal,Europe,,Energy,1,Electricity source,1.248,5.304,9.56,,,,,,,,,2019
Cities 2020,50679,Município de Barreiro,Portugal,Europe,,Energy,1,Electricity source,,,,0,,,0,0,0,,,2019
Cities 2020,50680,Município de Cascais,Portugal,Europe,,Energy,1,Electricity source,7,1,10,2,13,2,52,0,6,0,93,
Cities 2020,50681,Município de Funchal,Portugal,Europe,,Energy,1,Electricity source,,,,,,,,,,,,
Cities 2020,50782,Dhaka City,Bangladesh,South and West Asia,,Energy,1,Electricity source,,,,,,,,,,,,
Cities 2020,50792,Ville de Monaco,Monaco,Europe,,Energy,1,Electricity source,1.5,2.7,1,86.3,6.6,0,0,0,1.9,0,100,2018
Cities 2020,50794,Prefeitura Municipal de Caieiras,Brazil,Latin America,,Energy,1,Electricity source,,,,4,75,19,2,,,,,
Cities 2020,51075,City of Shenzhen,China,East Asia,,Energy,1,Electricity source,,,,,,,,,,,,
Cities 2020,51079,Guatemala City,Guatemala,Latin America,,Energy,1,Electricity source,24.2,0,3.8,,56.6,0,2,2.3,1.5,9.3,,2020
Cities 2020,51374,Prefeitura de Rio Branco,Brazil,Latin America,,Energy,1,Electricity source,,,100,,,,,,,,,
Cities 2020,52638,Prefeitura de Aracaju,Brazil,Latin America,,Energy,1,Electricity source,,,,,100,,,,,,,2019
Cities 2020,52894,City of Winston-Salem,United States of America,North America,,Energy,1,Electricity source,26,34.26,0.04,34.2,1.5,0,2,0,2,0,100,2019
Cities 2020,52897,City of Aspen,United States of America,North America,,Energy,1,Electricity source,,,,,,,,,,,,
Cities 2020,53254,City of Hobart,Australia,Southeast Asia and Oceania,,Energy,1,Electricity source,,2,,,81,,10,,7,0,,2019
Cities 2020,53829,"City of Kingston, ON",Canada,North America,,Energy,1,Electricity source,,,,,,,,,,,,
Cities 2020,53860,"City of Wilmington, NC",United States of America,North America,,Energy,1,Electricity source,19.1,34.6,0.6,37.8,2.3,2.8,0.4,0,2.2,0.2,100,2019
Cities 2020,53879,City of Jersey City,United States of America,North America,,Energy,1,Electricity source,,,,,,,,,,,,
Cities 2020,53921,"City of Tempe, AZ",United States of America,North America,,Energy,1,Electricity source,40,25,0,25,2,,1,,5,2,,2020
Cities 2020,53959,"City of Fayetteville, AR",United States of America,North America,,Energy,1,Electricity source,30.9,40,1.7,0,2.8,1.4,22.4,0,0.4,0.4,100,2018
Cities 2020,54026,City of Tacoma,United States of America,North America,,Energy,1,Electricity source,1.5,1,0,6,84,0,7,0,0,0.5,100,
Cities 2020,54029,City of Spokane,United States of America,North America,,Energy,1,Electricity source,,,,,,,,,,,,
Cities 2020,54034,City of Grand Rapids,United States of America,North America,,Energy,1,Electricity source,32.1,33.5,0.1,20.9,1.5,0.1,8.4,,0.1,3.3,,2018
Cities 2020,54037,City of Des Moines,United States of America,North America,,Energy,1,Electricity source,,,,,,,,,,,,
Cities 2020,54048,City of Knoxville,United States of America,North America,,Energy,1,Electricity source,19,26,0,39,11,0,1.5,0,1.5,2,100,2020
Cities 2020,54060,City of Greater Sudbury / Grand Sudbury,Canada,North America,,Energy,1,Electricity source,,,,,,,,,,,,
Cities 2020,54070,City of Eugene,United States of America,North America,,Energy,1,Electricity source,0,0,0,8.8,87.4,0,0.8,0,0,3,100,
Cities 2020,54075,City of Lakewood,United States of America,North America,,Energy,1,Electricity source,33,37,0,0,1,0,25,0,4,0,100,2019
Cities 2020,54078,City of Hayward,United States of America,North America,,Energy,1,Electricity source,0,20,0,27,21,4,8,5,13,2,100,2017
Cities 2020,54082,"City of Hollywood, FL",United States of America,North America,,Energy,1,Electricity source,2.1,72.3,0.3,22.3,0,0,0,0,1.5,1.5,100,2019
Cities 2020,54085,City of Savannah,United States of America,North America,,Energy,1,Electricity source,,,,,,,,,,,,
Cities 2020,54088,City of Peterborough,Canada,North America,,Energy,1,Electricity source,0,28,0,35,23,1,12,0,1,0,100,2019
Cities 2020,54092,City of Ann Arbor,United States of America,North America,,Energy,1,Electricity source,62.73,6.49,0.21,22.13,0.21,1.05,6.42,0,0.17,0.59,100,2018
Cities 2020,54098,City of Thunder Bay,Canada,North America,,Energy,1,Electricity source,0,29,0,34,23,1,12,0,1,0,100,2019
Cities 2020,54100,"City of Columbia, MO",United States of America,North America,,Energy,1,Electricity source,82.99,1.31,0,0,0,0,12.34,0,0.12,3.24,100,2015
Cities 2020,54102,City of Albany,United States of America,North America,,Energy,1,Electricity source,,,,,,,,,,,,
Cities 2020,54104,City of Boulder,United States of America,North America,,Energy,1,Electricity source,39.1,32.7,0,0,1.4,0,23.5,0,3.3,0,100,2018
Cities 2020,54108,City of Durham,United States of America,North America,,Energy,1,Electricity source,26,30,0,32,4,4,0,0,4,0,100,
Cities 2020,54109,City of Bloomington,United States of America,North America,,Energy,1,Electricity source,79.2,4.9,0,0,0.6,0,0,0,0.8,14.5,100,
Cities 2020,54110,City of Santa Monica,United States of America,North America,,Energy,1,Electricity source,0,0,,0,0,0,0,0,100,0,,
Cities 2020,54111,City of Iowa City,United States of America,North America,,Energy,1,Electricity source,45.3,2.1,0,13,0,0.2,39.4,0,0,0,100,
Cities 2020,54113,City of Flagstaff,United States of America,North America,,Energy,1,Electricity source,28,31.4,0,29.8,6.6,0.2,0.5,0,3.4,0.1,100,
Cities 2020,54114,City of Asheville,United States of America,North America,,Energy,1,Electricity source,10.5,40.4,0.1,31.6,7.3,0,0,3,7.1,,,2020
Cities 2020,54116,City of Dubuque,United States of America,North America,,Energy,1,Electricity source,37.84,48.43,0.02,0,1,0,12.68,0,0.03,0,100,2020
Cities 2020,54119,City of Palo Alto,United States of America,North America,,Energy,1,Electricity source,0,0,0,0,40,11,11,0,17,21,100,
Cities 2020,54124,City of Fremont,United States of America,North America,,Energy,1,Electricity source,0,15,0,34,15,4,10,4,18,0,100,2018
Cities 2020,54253,Wollongong City Council,Australia,Southeast Asia and Oceania,,Energy,1,Electricity source,,,,,,,,,,,,
Cities 2020,54265,City of Newcastle,Australia,Southeast Asia and Oceania,,Energy,1,Electricity source,78.92,0.2,,,5.03,1.6,5.25,,5.6,,,2019
Cities 2020,54268,Dunedin City Council,New Zealand,Southeast Asia and Oceania,,Energy,1,Electricity source,6,19,33,0,11,6,12.5,0,12.5,0,100,2018
Cities 2020,54274,Rotorua Lakes Council,New Zealand,Southeast Asia and Oceania,,Energy,1,Electricity source,,22,,,56,,3,19,,,,
Cities 2020,54282,Hangzhou City People's Government,China,East Asia,,Energy,1,Electricity source,,,,,,,,,,,,
Cities 2020,54289,Wuhan Municipal People's Government,China,East Asia,,Energy,1,Electricity source,76,4,0,0,0,0,0,0,0,20,100,2019
Cities 2020,54290,Qingdao Municipal Government,China,East Asia,,Energy,1,Electricity source,,,,,,,,,,,,
Cities 2020,54291,Chengdu Municipal Government,China,East Asia,,Energy,1,Electricity source,,,,,,,,,,,,
Cities 2020,54293,People's Government of Guangzhou Municipality,China,East Asia,,Energy,1,Electricity source,,,,,,,,,,,,
Cities 2020,54298,Dalian Municipal People's Government,China,East Asia,,Energy,1,Electricity source,,,,,,,,,,,,
Cities 2020,54305,Rajkot Municipal Corporation,India,South and West Asia,,Energy,1,Electricity source,48.8,20.3,0,1.7,2.4,1.6,18.9,0,6.3,0,100,2019
Cities 2020,54308,Coimbatore City Municipal Corporation,India,South and West Asia,,Energy,1,Electricity source,,,,,,,,,,,,
Cities 2020,54311,Thane Municipal Corporation,India,South and West Asia,,Energy,1,Electricity source,,,,,,,,,,,,
Cities 2020,54317,Dehradun Municipal Corporation,India,South and West Asia,,Energy,1,Electricity source,,,,,,,,,,,,
Cities 2020,54327,Semarang City Government,Indonesia,Southeast Asia and Oceania,,Energy,1,Electricity source,,,,,,,,,,100,,2019
Cities 2020,54329,Bogor City Government,Indonesia,Southeast Asia and Oceania,,Energy,1,Electricity source,0,0,0,0,100,0,0,0,0,0,100,
Cities 2020,54337,Greater Amman Municipality,Jordan,Middle East,,Energy,1,Electricity source,0,87.9,2.8,0,0.1,0,3.7,0,4.4,1,99.9,2018
Cities 2020,54341,Toyama City,Japan,East Asia,,Energy,1,Electricity source,,,,,,,,,,,,
Cities 2020,54345,City Government of Davao,Philippines,Southeast Asia and Oceania,,Energy,1,Electricity source,,,,,,,,,,,,
Cities 2020,54348,The Local Government of Quezon City,Philippines,Southeast Asia and Oceania,,Energy,1,Electricity source,25.77,11.92,38.15,0,12.57,0.8,1.48,6.65,2.66,0,100,2016
Cities 2020,54349,Balikpapan City Government,Indonesia,Southeast Asia and Oceania,,Energy,1,Electricity source,0,2.04,51.48,0,0,0,0,0,46.48,0,100,2015
Cities 2020,54360,Shah Alam City Council,Malaysia,Southeast Asia and Oceania,,Energy,1,Electricity source,,,,,,,,,,,,
Cities 2020,54364,City of Kuala Lumpur,Malaysia,Southeast Asia and Oceania,,Energy,1,Electricity source,100,0,0,0,0,0,0,0,0,0,100,2017
Cities 2020,54386,Tainan City Government,"Taiwan, Greater China",East Asia,,Energy,1,Electricity source,4.4,38.6,36.9,13.5,1.5,,,,5.1,,,
Cities 2020,54388,Iskandar Regional Development Authority,Malaysia,Southeast Asia and Oceania,,Energy,1,Electricity source,63.3,36.3,0.4,0,0,0,0,0,0,0,100,2017
Cities 2020,54389,Taichung City Government,"Taiwan, Greater China",East Asia,,Energy,1,Electricity source,29.85,14.97,46.92,6.31,0.36,1.14,0.12,0,0.26,0.07,100,
Cities 2020,54395,Taoyuan City Government,"Taiwan, Greater China",East Asia,,Energy,1,Electricity source,37.3,38.2,1.9,13.4,2.4,0,0.8,0,1.7,4.3,100,2019
Cities 2020,54402,City of Lahti,Finland,Europe,,Energy,1,Electricity source,9,6,0.3,32,19,19,9,0,0.2,5.5,100,2018
Cities 2020,54409,City of Espoo,Finland,Europe,,Energy,1,Electricity source,8,6,0,35,19,18,9,0,0,5,100,2019
Cities 2020,54459,City of Reykjavík,Iceland,Europe,,Energy,1,Electricity source,0,0,0,0,70,0,0,30,0,0,100,2019
Cities 2020,54478,Gemeente Nijmegen,Netherlands,Europe,,Energy,1,Electricity source,24,53,0.1,4,0.1,7,5,0,0.2,4,97.4,
Cities 2020,54488,Trondheim Municipality,Norway,Europe,,Energy,1,Electricity source,0,1,1,0,98,0,0,0,0,0,100,2018
Cities 2020,54491,Municipality of Málaga,Spain,Europe,,Energy,1,Electricity source,,,,,,,,,,100,,2019
Cities 2020,54492,Bergen Municipality,Norway,Europe,,Energy,1,Electricity source,0,0,0,0,98,,,,,,,
Cities 2020,54498,Ayuntamiento de Murcia,Spain,Europe,,Energy,1,Electricity source,5,21.9,13.6,21.2,9,1.7,20.6,0,5.5,1.5,100,2019
Cities 2020,54510,Umeå municipality,Sweden,Europe,,Energy,1,Electricity source,,,,,89,8,3,,,,,
Cities 2020,54513,Municipality of Uppsala,Sweden,Europe,,Energy,1,Electricity source,0,0,0,39.3,40.3,0,11,0,0.1,9.3,100,
Cities 2020,54517,City Örebro,Sweden,Europe,,Energy,1,Electricity source,0,0,0,0,0,0,100,0,0,0,100,2018
Cities 2020,54519,City of Lund,Sweden,Europe,,Energy,1,Electricity source,0,0,0,39,40,0,11,0,0,10,100,2017
Cities 2020,54521,BCP Council,United Kingdom of Great Britain and Northern Ireland,Europe,,Energy,1,Electricity source,21,29,2,19,2,4,4,4,10,5,100,2017
Cities 2020,54529,City of Leicester,United Kingdom of Great Britain and Northern Ireland,Europe,,Energy,1,Electricity source,5.1,39.5,2.9,19.5,1.6,0,21,0,0,10.4,100,
Cities 2020,54538,Bath and North East Somerset,United Kingdom of Great Britain and Northern Ireland,Europe,,Energy,1,Electricity source,2.1,40.6,0.3,17.3,1.8,11.5,23.9,0,0,2.5,100,2019
Cities 2020,54579,Sekhukhune District Municipality,South Africa,Africa,,Energy,1,Electricity source,,,,,,,,,,,,
Cities 2020,54603,Alcaldia de Pasto,Colombia,Latin America,,Energy,1,Electricity source,0,0,0,0,0,,0,0,0,,,
Cities 2020,54611,Alcaldia de Manizales,Colombia,Latin America,,Energy,1,Electricity source,0,0,0,0,100,0,0,0,0,0,100,
Cities 2020,54613,Alcaldia de Valdivia,Chile,Latin America,,Energy,1,Electricity source,,,,,,,,,,,,
Cities 2020,54614,Prefeitura da Cidade de São José do Rio Preto,Brazil,Latin America,,Energy,1,Electricity source,0,0,0,0,100,0,0,0,0,0,100,2020
Cities 2020,54617,Alcaldia de Pereira,Colombia,Latin America,,Energy,1,Electricity source,,,,,,,,,,,,
Cities 2020,54620,Gobierno Municipal de la Ciudad de Paraná,Argentina,Latin America,,Energy,1,Electricity source,,,,,,,,,,,,
Cities 2020,54623,Prefeitura de Betim,Brazil,Latin America,,Energy,1,Electricity source,,,,,,,,,,,,
Cities 2020,54625,Prefeitura de Londrina,Brazil,Latin America,,Energy,1,Electricity source,0,0,0,0,100,0,0,0,0,0,100,2016
Cities 2020,54632,Prefeitura de Caruaru,Brazil,Latin America,,Energy,1,Electricity source,,,,,100,,,,,,,2019
Cities 2020,54633,Prefeitura de Lorena,Brazil,Latin America,,Energy,1,Electricity source,0,0,0,0,100,0,0,0,0,0,100,
Cities 2020,54637,Alcaldía de Cuenca,Ecuador,Latin America,,Energy,1,Electricity source,0,12,32,0,11,0,0,0,0,1,56,
Cities 2020,54641,Prefeitura de Limeira,Brazil,Latin America,,Energy,1,Electricity source,2,3,,,90,2,3,,3,,,
Cities 2020,54646,Prefeitura de Duque de Caxias,Brazil,Latin America,,Energy,1,Electricity source,,,,,,,,,,,,
Cities 2020,54650,Prefeitura de Palmas,Brazil,Latin America,,Energy,1,Electricity source,,,,,,,,,,,,
Cities 2020,54652,Prefeitura de Osasco,Brazil,Latin America,,Energy,1,Electricity source,3,9,0,3,68,8,5,0,0,4,100,
Cities 2020,54662,Prefeitura do Município de Maringá,Brazil,Latin America,,Energy,1,Electricity source,,,,,,,,,,,,
Cities 2020,54667,Prefeitura Municipal de Contagem,Brazil,Latin America,,Energy,1,Electricity source,,,,,,,,,,,,
Cities 2020,54670,Prefeitura Municipal de Capivari,Brazil,Latin America,,Energy,1,Electricity source,,,,,,,,,,,,
Cities 2020,54681,Prefeitura Municipal de Araçatuba,Brazil,Latin America,,Energy,1,Electricity source,,,,,100,,,,,,,
Cities 2020,54682,Prefeitura Municipal de Petrolina,Brazil,Latin America,,Energy,1,Electricity source,,,,,,,,,,,,
Cities 2020,54687,Prefeitura Municipal de São José dos Campos,Brazil,Latin America,,Energy,1,Electricity source,3.6,10.5,3,2.5,65.2,8.2,6.8,0,0.1,0.1,100,
Cities 2020,54692,Prefeitura Municipal de Sertãozinho,Brazil,Latin America,,Energy,1,Electricity source,0,0,0,0,60.74,8.6,8.63,14.91,3.42,3.7,100,2019
Cities 2020,54696,XIV Ayuntamiento de La Paz,Mexico,Latin America,,Energy,1,Electricity source,,,,,,,,,,,,
Cities 2020,54697,Prefeitura Municipal de Cerquilho,Brazil,Latin America,,Energy,1,Electricity source,,,,,100,,,,,,,
Cities 2020,54700,Prefeitura Municipal de Sumaré,Brazil,Latin America,,Energy,1,Electricity source,3,10,2,3,66,8,6,0,0,2,100,2016
Cities 2020,54706,Prefeitura Municipal de Boa Vista,Brazil,Latin America,,Energy,1,Electricity source,,,90,,,,,3,7,,,2020
Cities 2020,55324,Município de Guimarães,Portugal,Europe,,Energy,1,Electricity source,54.26,5.83,0,0,27.66,,,,12.25,,,2015
Cities 2020,55325,Município de Águeda,Portugal,Europe,,Energy,1,Electricity source,9,6,0,3.3,15.9,0,40.5,0,0,25.3,100,
Cities 2020,55334,Município de Braga,Portugal,Europe,,Energy,1,Electricity source,20,18,0,0,23,8,22,0,7,2,100,2018
Cities 2020,55371,Municipalidad de Vicente López,Argentina,Latin America,,Energy,1,Electricity source,2,52,33,3,4,5,0,0,0,1,100,
Cities 2020,55372,Prefeitura Municipal de Canoas,Brazil,Latin America,,Energy,1,Electricity source,,0.1,,,99.9,,,,,,,
Cities 2020,55373,Prefeitura Municipal de Cabreúva,Brazil,Latin America,,Energy,1,Electricity source,,,,,100,,,,,,,
Cities 2020,55419,City of Miramar,United States of America,North America,,Energy,1,Electricity source,2.37,73.61,0.17,21.98,,,,,1.87,,,2019
Cities 2020,55799,"Arlington, VA",United States of America,North America,,Energy,1,Electricity source,26,24,0,47,0,1,1,0,1,0,100,2007
Cities 2020,55800,City of Cambridge,United States of America,North America,,Energy,1,Electricity source,1.6,48,0.7,30.8,8.4,2.9,3.2,,0.9,3.5,,
Cities 2020,55801,City of West Palm Beach,United States of America,North America,,Energy,1,Electricity source,2.36,73.24,0.31,22.64,0,0,0,0,1.45,0,100,2018
Cities 2020,56276,New Taipei City Government,"Taiwan, Greater China",East Asia,,Energy,1,Electricity source,30.8,35.3,5.4,8.1,5.4,0,1.8,0,7.5,5.7,100,2019
Cities 2020,57347,Pingtung County Government,"Taiwan, Greater China",East Asia,,Energy,1,Electricity source,46.11,33.23,2.1,11.79,3.19,0.06,0.68,0,1.51,1.33,100,2019
Cities 2020,57509,Prefeitura de Niterói,Brazil,Latin America,,Energy,1,Electricity source,,0,0,0,100,0,0,0,0,0,,2019
Cities 2020,57616,"City of Lake Forest, IL",United States of America,North America,,Energy,1,Electricity source,,,,,,,,,,,,
